ID,Tipo,SKU,"GTIN, UPC, EAN o ISBN",Nombre,Publicado,¿Está destacado?,Visibilidad en el catálogo,Descripción corta,Descripción,Día en que empieza el precio rebajado,Día en que termina el precio rebajado,Estado del impuesto,Clase de impuesto,¿Existencias?,Inventario,Cantidad de bajo inventario,¿Permitir reservas de productos agotados?,¿Vendido individualmente?,Peso (kg),Longitud (cm),Anchura (cm),Altura (cm),¿Permitir valoraciones de clientes?,Nota de compra,Precio rebajado,Precio normal,Categorías,Etiquetas,Clase de envío,Imágenes,Límite de descargas,Días de caducidad de la descarga,Superior,Productos agrupados,Ventas dirigidas,Ventas cruzadas,URL externa,Texto del botón,Posición
913,simple,TL-MLED-60-4.8W-5/LD,,"Tira de led SMD 6500K 5 metros 24W, 12V, TL-MLED",1,0,visible,,"TIRA FLEXIBLE LED 2835 SMD EXTERIOR | 127V | LUZ SUAVE CÁLIDA | 5 METROS, 50 m. máx. en crecimiento. Temperatura ambiente máxima de operación 40º C. Tira no sumergible.",,,taxable,,1,,,0,0,,,,,1,,,240.9,MARCAS > TECNOLITE,"LED, Tira de LED",,"https://grupoascencio.com.mx/wp-content/uploads/2022/11/MLED-60-IP45-127V-BC-PT02.jpg, https://grupoascencio.com.mx/wp-content/uploads/2022/11/MLED-60-IP45-127V-BC-PT08.jpg",,,,,,,,,0
917,simple,TL-HLED-920/S,,"Luz de Cortesía LED Exterior, 1W, Luz Suave Cálida, Sobreponer, IP44 LED Integrado",1,0,visible,,"Luz de cortesía LED exterior, 1 W, luz suave cálida, sobreponer, IP44, LED integrado.HLED-920/S Tecnolite",,,taxable,,1,,,0,0,,,,,1,,,791.98,MARCAS > TECNOLITE,,,"https://grupoascencio.com.mx/wp-content/uploads/2022/11/tl-hled-920_s.jpeg, https://grupoascencio.com.mx/wp-content/uploads/2022/11/tl-hled-920_s-1-1.jpeg",,,,,,,,,0
919,simple,TL-HEL-15W/65-T2,,"Foco Fluorescente, 15W, Luz De Día, Base E27",1,0,visible,,"Foco fluorescente, 15 W, Luz de día, Base E27, ILUMINA TUS AMBIENTES MIENTRAS AHORRAS ENERGÍA",,,taxable,,1,,,0,0,,,,,1,,,45.07,MARCAS > TECNOLITE,,,"https://grupoascencio.com.mx/wp-content/uploads/2022/11/hel-15w-65-t2-pt02.jpeg, https://grupoascencio.com.mx/wp-content/uploads/2022/11/hel-15w-65-t2-pt04.jpeg",,,,,,,,,0
920,simple,TL-TRA-50,,"Transformador Eléctrico, 60W 127V A",1,0,visible,,TRANSFORMADOR ELECTRONICO ATENUABLE USO INTERIOR Y EXTERIOR MCA TECNOLITE,,,taxable,,1,,,0,0,,,,,1,,,109.64,MARCAS > TECNOLITE,,,https://grupoascencio.com.mx/wp-content/uploads/2022/11/TRA-50.jpg,,,,,,,,,0
921,simple,TL-YD-700-2/N,,"Lampara Doble Empotrable Para Interior, Negro, Base",1,0,visible,,"Lámpara Doble Empotrable, para Interior, Negro, Base G53 YD-700-2/N Tecnolite. NO INCLUYE FOCO(S). Sugerido Halógeno 50 W base G53 (x2). Material: Aluminio. Atrae miradas a espacios o dale practicidad a tus áreas creando una gama ilimitada de escenas y texturas a traves de una iluminación estética. Producto con certificación NOM.",,,taxable,,1,,,0,0,,,,,1,,,938.55,MARCAS > TECNOLITE,,,https://grupoascencio.com.mx/wp-content/uploads/2022/11/tl-yd-700-2n_shnto41szkicm5gi.jpg,,,,,,,,,0
924,simple,TL-MR16-SMDLED/3W/65,,"Foco LED MR16, 3W, Luz De Día, 100-240V",1,0,visible,,"Foco LED MR16, 3 W, Luz de Día, 100-240 V, MR16-SMDLED/3W/65 Tecnolite. Tecnología LED: encontrarás un diseño más compacto y eficiente gracias a la integración de los chips de LED. Genera hasta un ahorro del 90% en consumo de energía eléctrica. Producto con certificación NOM.
\n
\n&nbsp;
\n
\n[vcex_button url=""https://grupoascencio.com.mx/wp-content/uploads/2025/06/Test.txt"" title=""Visit Site"" style=""flat"" align=""left"" color=""black"" size=""small"" target=""blank"" rel=""none""]Ejemplo Monse[/vcex_button]",,,taxable,,1,,,0,0,,,,,1,,,27.41,MARCAS > TECNOLITE,"foco, LED",,https://grupoascencio.com.mx/wp-content/uploads/2022/11/tl-mr16-smdled3w65_xjussxvh4arp8agj.jpg,,,,,,,,,0
